Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
java,com.fairshare.config,WebConfig,addCorsMappings,3,1,1,10,0,,
java,com.fairshare.controller,AuthController,signup,3,1,1,38,0,com.fairshare.service.AuthService,com.fairshare.service.AuthService
java,com.fairshare.controller,AuthController,login,5,1,2,43,0,com.fairshare.service.AuthService,com.fairshare.service.AuthService
java,com.fairshare.controller,AuthController,updateZelleInfo,12,1,3,54,0,com.fairshare.model.User,com.fairshare.model.User; com.fairshare.service.AuthService
java,com.fairshare.controller,AuthController,uploadZelleQr,17,2,2,81,0,com.fairshare.service.AuthService,com.fairshare.service.AuthService
java,com.fairshare.controller,AuthController,getZelleInfo,12,1,1,116,0,com.fairshare.service.AuthService,com.fairshare.service.AuthService
java,com.fairshare.controller,AuthController,getZelleQr,18,2,1,133,0,com.fairshare.model.User,com.fairshare.model.User; com.fairshare.service.AuthService
java,com.fairshare.controller,AuthController,deleteZelleQr,12,1,1,170,0,com.fairshare.service.AuthService,com.fairshare.service.AuthService
java,com.fairshare.controller,ExpenseController,addExpense,48,13,1,30,0,com.fairshare.payload.ExpenseRequest,com.fairshare.payload.ExpenseRequest; com.fairshare.model.Expense; com.fairshare.service.ExpenseService
java,com.fairshare.controller,ExpenseController,getExpenseById,9,1,1,101,0,com.fairshare.service.ExpenseService,com.fairshare.service.ExpenseService
java,com.fairshare.controller,ExpenseController,getExpenseSplits,12,1,1,111,0,com.fairshare.service.ExpenseService,com.fairshare.service.ExpenseService
java,com.fairshare.controller,ExpenseController,getExpensesByGroup,9,1,1,124,0,com.fairshare.service.ExpenseService,com.fairshare.service.ExpenseService
java,com.fairshare.controller,ExpenseController,getUserBalances,9,1,1,134,0,com.fairshare.service.ExpenseService,com.fairshare.service.ExpenseService
java,com.fairshare.controller,ExpenseController,getRecentActivity,9,1,1,144,0,com.fairshare.service.ExpenseService,com.fairshare.service.ExpenseService
