Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
java,com.fairshare.config,WebConfig,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\config\WebConfig.java,7
java,com.fairshare.controller,AuthController,1,0,7,7,97,9,0,0,0.0,0,4,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\controller\AuthController.java,31
java,com.fairshare.controller,ExpenseController,1,0,16,16,273,42,0,0,0.0,0,3,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\controller\ExpenseController.java,22
java,com.fairshare.controller,GroupController,2,0,7,7,87,9,0,0,0.0,0,4,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\controller\GroupController.java,16
java,com.fairshare.dto,ExpenseRequest,5,0,0,0,7,0,0,0,-1.0,0,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\dto\ExpenseRequest.java,5
java,com.fairshare.dto,LoginRequest,2,0,0,0,4,0,0,0,-1.0,0,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\dto\LoginRequest.java,3
java,com.fairshare.dto,SignupRequest,3,0,0,0,5,0,0,0,-1.0,0,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\dto\SignupRequest.java,3
java,com.fairshare,FairShareApplication,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\FairShareApplication.java,6
java,com.fairshare.model,Expense,13,0,27,27,112,27,0,0,0.5185185185185185,4,1,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\model\Expense.java,9
java,com.fairshare.model,ExpenseSplit,5,0,10,10,37,10,0,0,0.5,1,1,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\model\ExpenseSplit.java,5
java,com.fairshare.model,Group,5,0,12,12,44,12,0,0,0.3333333333333333,3,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\model\Group.java,7
java,com.fairshare.model,GroupMember,4,0,10,10,37,10,0,0,0.3,1,2,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\model\GroupMember.java,6
java,com.fairshare.model,User,10,0,20,20,72,20,0,0,0.5,8,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\model\User.java,5
java,com.fairshare.payload,ExpenseRequest,11,0,22,22,88,22,0,0,0.5,2,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\payload\ExpenseRequest.java,6
java,com.fairshare.payload,LoginRequest,2,0,4,4,16,4,0,0,0.5,2,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\payload\LoginRequest.java,3
java,com.fairshare.payload,SignupRequest,3,0,6,6,23,6,0,0,0.5,2,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\payload\SignupRequest.java,3
java,com.fairshare.repository,ExpenseRepository,0,0,4,0,18,4,0,0,-1.0,2,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\repository\ExpenseRepository.java,10
java,com.fairshare.repository,ExpenseSplitRepository,0,0,4,0,20,4,0,0,-1.0,2,1,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\repository\ExpenseSplitRepository.java,11
java,com.fairshare.repository,GroupMemberRepository,0,0,6,0,27,6,0,0,-1.0,1,1,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\repository\GroupMemberRepository.java,15
java,com.fairshare.repository,GroupRepository,0,0,2,0,10,2,0,0,-1.0,1,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\repository\GroupRepository.java,8
java,com.fairshare.repository,UserRepository,0,0,1,0,3,1,0,0,-1.0,3,0,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\repository\UserRepository.java,7
java,com.fairshare.service,AuthService,1,0,8,8,64,11,0,0,0.0,1,4,C:\Users\khush\OneDrive\Desktop\DePaul\Software Engineering Studio\New folder\FairShare\backend\fairshare-backend\src\main\java\com\fairshare\service\AuthService.java,16
